,min,max,mean,dtype
id.resp_p,1,63798,6667.440225035161,int64
proto,0,1,0.0891190384861271,int64
duration,0.0,48976.819063,15.516259400332439,float64
orig_bytes,0.0,75546624.0,10059.638281549675,float64
resp_bytes,0.0,164266.0,236.60337552742615,float64
missed_bytes,0,5792,6.294847206239611,int64
orig_pkts,0,18444,18.7180667433832,int64
orig_ip_bytes,0,76063056,10832.804117120573,int64
resp_pkts,0,1070,1.770489707198568,int64
resp_ip_bytes,0,168910,326.2681242807825,int64
conn_state_OTH,False,True,0.012146784298683032,bool
conn_state_RSTR,False,True,0.006776627029791587,bool
conn_state_S0,False,True,0.7071985679580616,bool
conn_state_S1,False,True,0.000511443549418233,bool
conn_state_S3,False,True,0.20253164556962025,bool
conn_state_SF,False,True,0.07083493159442526,bool
