,min,max,mean,dtype
Age,28,77,53.510893246187365,int64
Sex,0,1,0.789760348583878,int64
RestingBP,80.0,200.0,132.53812636165577,float64
Cholesterol,85.0,603.0,243.20479302832243,float64
FastingBS,0,1,0.23311546840958605,int64
MaxHR,60,202,136.80936819172112,int64
ExerciseAngina,0,1,0.40413943355119825,int64
Oldpeak,-2.6,6.2,0.8873638344226579,float64
CP_ASY,False,True,0.5403050108932462,bool
CP_ATA,False,True,0.18845315904139434,bool
CP_NAP,False,True,0.22113289760348584,bool
CP_TA,False,True,0.05010893246187364,bool
ECG_LVH,False,True,0.2047930283224401,bool
ECG_Normal,False,True,0.6013071895424836,bool
ECG_ST,False,True,0.19389978213507625,bool
Slope_Down,False,True,0.06862745098039216,bool
Slope_Flat,False,True,0.5010893246187363,bool
Slope_Up,False,True,0.43028322440087147,bool
