,min,max,mean,dtype
Patient_Sex,0,1,0.39782094473514445,int64
Patient_Age,0.0,100.0,64.07263052778659,float64
Reaction_Count,1,100,3.926743602609132,int64
Drug_AMLODIPINE,False,True,0.01713138843093685,bool
Drug_ATENOLOL,False,True,0.014120851551860082,bool
Drug_AVASTIN,False,True,0.010178481829259551,bool
Drug_DIOVAN,False,True,0.01655795283492223,bool
Drug_ERBITUX,False,True,0.00860153394021934,bool
Drug_IBRANCE,False,True,0.010178481829259551,bool
Drug_LETAIRIS,False,True,0.025876281270159847,bool
Drug_LISINOPRIL,False,True,0.03956705612500896,bool
Drug_NEXAVAR,False,True,0.011181994122285141,bool
Drug_NORVASC,False,True,0.012042147516307075,bool
Drug_OPSUMIT,False,True,0.008314816142212028,bool
Drug_Other,False,True,0.7630994193964591,bool
Drug_REMODULIN,False,True,0.010966955773779657,bool
Drug_TRACLEER,False,True,0.042075836857572935,bool
Drug_TYKERB,False,True,0.010106802379757723,bool
Indication_BREAST CANCER,False,True,0.08379327646763673,bool
Indication_BREAST CANCER FEMALE,False,True,0.017346426779442335,bool
Indication_BREAST CANCER METASTATIC,False,True,0.021288796502042864,bool
Indication_CARDIAC DISORDER,False,True,0.0247294100781306,bool
Indication_CARDIAC FAILURE,False,True,0.012615583112321697,bool
Indication_COLON CANCER,False,True,0.010823596874776001,bool
Indication_COLORECTAL CANCER,False,True,0.011612070819296107,bool
Indication_HEPATIC NEOPLASM MALIGNANT,False,True,0.014622607698372876,bool
Indication_HYPERTENSION,False,True,0.38592215611784103,bool
Indication_LUNG NEOPLASM MALIGNANT,False,True,0.012257185864812559,bool
Indication_NON-SMALL CELL LUNG CANCER,False,True,0.03204071392731704,bool
Indication_OVARIAN CANCER,False,True,0.012400544763816215,bool
Indication_Other,False,True,0.20385635438319832,bool
Indication_PROSTATE CANCER,False,True,0.03397605906386639,bool
Indication_PULMONARY ARTERIAL HYPERTENSION,False,True,0.10852268654576733,bool
Indication_PULMONARY HYPERTENSION,False,True,0.01419253100136191,bool
